iter	Passed	Remaining
0	195	97487
1	271	67625
2	327	54210
3	374	46394
4	430	42653
5	506	41740
6	564	39731
7	639	39342
8	762	41611
9	833	40830
10	895	39797
11	950	38659
12	1015	38027
13	1088	37779
14	1155	37373
15	1215	36782
16	1292	36708
17	1362	36497
18	1420	35949
19	1500	36000
20	1583	36111
21	1649	35840
22	1670	34640
23	1744	34608
24	1820	34586
25	1968	35879
26	2018	35356
27	2124	35805
28	2181	35427
29	2207	34582
30	2259	34176
31	2324	34001
32	2367	33498
33	2431	33323
34	2493	33134
35	2556	32955
36	2620	32785
37	2760	33557
38	2818	33320
39	2900	33356
40	2979	33355
41	3047	33229
42	3095	32897
43	3148	32631
44	3197	32327
45	3247	32046
46	3307	31880
47	3368	31715
48	3415	31432
49	3464	31180
50	3536	31132
51	3576	30810
52	3630	30622
53	3702	30576
54	3736	30232
55	3791	30064
56	3851	29930
57	3911	29805
58	3964	29629
59	4025	29516
60	4077	29345
61	4144	29277
62	4198	29121
63	4260	29026
64	4326	28957
65	4380	28806
66	4450	28760
67	4506	28630
68	4578	28597
69	4633	28465
70	4719	28515
71	4779	28411
72	4828	28244
73	4892	28162
74	4950	28051
75	5011	27957
76	5082	27920
77	5160	27920
78	5235	27898
79	5307	27865
80	5371	27783
81	5425	27654
82	5495	27608
83	5553	27501
84	5626	27471
85	5693	27408
86	5759	27342
87	5825	27274
88	5889	27196
89	5948	27097
90	6001	26975
91	6061	26880
92	6125	26809
93	6201	26786
94	6257	26674
95	6304	26532
96	6359	26420
97	6418	26330
98	6467	26196
99	6527	26111
100	6587	26023
101	6638	25904
102	6705	25844
103	6782	25826
104	6840	25733
105	6907	25674
106	6957	25554
107	7009	25440
108	7066	25350
109	7150	25353
110	7201	25238
111	7289	25253
112	7373	25251
113	7420	25125
114	7479	25040
115	7545	24977
116	7576	24802
117	7604	24618
118	7648	24488
119	7720	24447
120	7770	24338
121	7842	24298
122	7894	24195
123	7948	24100
124	8004	24014
125	8068	23948
126	8101	23795
127	8168	23739
128	8229	23667
129	8290	23594
130	8349	23520
131	8413	23456
132	8478	23396
133	8552	23359
134	8602	23258
135	8655	23165
136	8732	23138
137	8796	23074
138	8855	22999
139	8912	22918
140	8971	22843
141	9029	22763
142	9081	22671
143	9120	22547
144	9179	22473
145	9230	22381
146	9288	22304
147	9345	22227
148	9403	22151
149	9464	22084
150	9517	21997
151	9574	21921
152	9638	21860
153	9713	21823
154	9781	21771
155	9830	21677
156	9889	21606
157	9942	21521
158	9994	21434
159	10052	21362
160	10108	21283
161	10170	21220
162	10226	21143
163	10277	21056
164	10334	20981
165	10391	20907
166	10440	20818
167	10486	20723
168	10542	20648
169	10595	20567
170	10642	20476
171	10708	20421
172	10773	20363
173	10842	20314
174	10908	20257
175	10967	20190
176	11014	20099
177	11071	20029
178	11113	19930
179	11159	19839
180	11205	19748
181	11252	19660
182	11296	19567
183	11346	19486
184	11399	19409
185	11449	19328
186	11496	19243
187	11542	19155
188	11588	19069
189	11635	18983
190	11686	18906
191	11741	18835
192	11798	18767
193	11878	18736
194	11934	18666
195	11978	18579
196	12046	18528
197	12122	18490
198	12242	18517
199	12344	18516
200	12393	18435
201	12438	18350
202	12489	18273
203	12539	18194
204	12588	18115
205	12642	18043
206	12699	17976
207	12765	17921
208	12809	17834
209	12858	17757
210	12905	17676
211	12962	17609
212	13012	17533
213	13059	17453
214	13105	17371
215	13158	17301
216	13219	17239
217	13278	17176
218	13351	17131
219	13408	17064
220	13460	16993
221	13518	16928
222	13571	16857
223	13639	16806
224	13717	16765
225	13782	16709
226	13841	16646
227	13911	16596
228	13975	16538
229	14037	16478
230	14099	16419
231	14169	16368
232	14237	16315
233	14301	16257
234	14357	16190
235	14417	16128
236	14464	16051
237	14542	16009
238	14615	15961
239	14684	15908
240	14759	15862
241	14811	15790
242	14866	15722
243	14930	15664
244	14994	15606
245	15058	15548
246	15115	15482
247	15168	15413
248	15236	15359
249	15296	15296
250	15363	15240
251	15443	15198
252	15503	15135
253	15567	15077
254	15634	15020
255	15710	14974
256	15769	14910
257	15828	14847
258	15886	14782
259	15949	14722
260	16027	14676
261	16093	14619
262	16156	14559
263	16226	14505
264	16284	14441
265	16346	14379
266	16400	14312
267	16454	14243
268	16511	14179
269	16569	14114
270	16621	14045
271	16686	13986
272	16753	13930
273	16873	13917
274	16964	13880
275	17025	13817
276	17083	13752
277	17161	13704
278	17225	13644
279	17280	13577
280	17357	13527
281	17431	13475
282	17500	13419
283	17607	13391
284	17670	13330
285	17727	13264
286	17792	13204
287	17866	13151
288	17926	13088
289	17985	13023
290	18043	12958
291	18101	12894
292	18170	12837
293	18239	12780
294	18307	12721
295	18369	12660
296	18434	12599
297	18501	12541
298	18571	12484
299	18644	12429
300	18734	12386
301	18829	12345
302	18924	12304
303	18984	12239
304	19040	12173
305	19098	12107
306	19164	12048
307	19241	11994
308	19301	11930
309	19359	11865
310	19417	11800
311	19471	11732
312	19536	11671
313	19595	11607
314	19663	11548
315	19724	11485
316	19772	11414
317	19825	11346
318	19879	11279
319	19945	11219
320	20013	11160
321	20070	11094
322	20126	11029
323	20185	10965
324	20244	10900
325	20311	10841
326	20365	10774
327	20421	10709
328	20472	10640
329	20535	10578
330	20603	10519
331	20665	10457
332	20735	10399
333	20793	10334
334	20850	10269
335	20907	10204
336	20965	10140
337	21026	10077
338	21082	10012
339	21136	9946
340	21200	9885
341	21262	9822
342	21324	9760
343	21392	9701
344	21443	9633
345	21501	9569
346	21575	9513
347	21641	9452
348	21700	9389
349	21762	9326
350	21824	9264
351	21880	9199
352	21936	9134
353	21994	9071
354	22051	9006
355	22104	8941
356	22164	8878
357	22216	8812
358	22276	8749
359	22329	8683
360	22383	8618
361	22453	8559
362	22513	8496
363	22585	8438
364	22649	8377
365	22708	8314
366	22760	8248
367	22822	8186
368	22882	8123
369	22947	8062
370	23012	8001
371	23073	7939
372	23127	7874
373	23181	7809
374	23241	7747
375	23305	7685
376	23366	7623
377	23421	7559
378	23476	7495
379	23551	7437
380	23603	7372
381	23665	7310
382	23727	7248
383	23786	7185
384	23835	7119
385	23889	7055
386	23966	6997
387	24030	6936
388	24089	6873
389	24151	6811
390	24221	6752
391	24274	6687
392	24323	6622
393	24376	6558
394	24436	6495
395	24495	6433
396	24551	6369
397	24638	6314
398	24709	6254
399	24760	6190
400	24817	6126
401	24897	6069
402	24959	6007
403	25021	5945
404	25106	5889
405	25172	5828
406	25224	5763
407	25282	5701
408	25344	5638
409	25401	5575
410	25462	5513
411	25530	5453
412	25605	5393
413	25678	5334
414	25733	5270
415	25786	5206
416	25851	5145
417	25918	5084
418	25970	5020
419	26025	4957
420	26091	4896
421	26162	4835
422	26217	4772
423	26273	4709
424	26334	4647
425	26408	4587
426	26470	4525
427	26529	4462
428	26598	4402
429	26680	4343
430	26750	4282
431	26811	4220
432	26866	4157
433	26951	4098
434	27015	4036
435	27073	3974
436	27134	3911
437	27206	3851
438	27271	3789
439	27343	3728
440	27399	3665
441	27452	3602
442	27508	3539
443	27567	3476
444	27619	3413
445	27703	3354
446	27759	3291
447	27817	3228
448	27881	3166
449	27937	3104
450	27989	3040
451	28045	2978
452	28104	2915
453	28172	2854
454	28237	2792
455	28301	2730
456	28366	2669
457	28425	2606
458	28492	2545
459	28551	2482
460	28616	2420
461	28679	2358
462	28731	2296
463	28789	2233
464	28855	2171
465	28910	2109
466	28966	2046
467	29021	1984
468	29085	1922
469	29142	1860
470	29202	1798
471	29285	1737
472	29358	1675
473	29435	1614
474	29497	1552
475	29571	1490
476	29661	1430
477	29728	1368
478	29785	1305
479	29843	1243
480	29901	1181
481	29975	1119
482	30033	1057
483	30085	994
484	30133	931
485	30200	869
486	30260	807
487	30331	745
488	30394	683
489	30455	621
490	30533	559
491	30609	497
492	30675	435
493	30739	373
494	30814	311
495	30884	249
496	30950	186
497	31023	124
498	31084	62
499	31167	0
