product_id,product_name,brand_id,brand_name,seller_id,seller_name,price_current,price_original,sold_count,review_count,in_stock,rating_score,location,product_url,snapshot_date
P-Ne-Co-0,Nestle Coffee,B-Nestle,Nestle,S-19,Nestle Official Store,194548.11,206937.95,4456,1487,True,4.87,Malaysia,,2026-03-01
P-Ne-Ch-1,Nestle Chocolate Drink,B-Nestle,Nestle,S-24,Nestle Official Store,156068.97,161655.5,2463,1220,True,4.99,Thailand,,2026-03-01
P-Lo-Ke-2,Logitech Keyboard,B-Logitech,Logitech,S-16,Logitech Official Store,634313.72,655288.18,1836,194,True,4.09,Thailand,,2026-03-01
P-An-Ch-3,Anker Charger,B-Anker,Anker,S-7,Anker Official Store,483794.65,499762.83,2918,2219,True,4.01,Vietnam,,2026-03-01
P-Lo-Ke-4,Logitech Keyboard,B-Logitech,Logitech,S-28,Logitech Official Store,835817.37,906569.53,1508,780,True,4.03,Thailand,,2026-03-01
P-Lo-Ke-5,Logitech Keyboard,B-Logitech,Logitech,S-42,Logitech Official Store,846621.01,964338.28,3873,1505,True,4.97,Thailand,,2026-03-01
P-Pa-Se-6,Paula's Choice Serum,B-Paula's Choice,Paula's Choice,S-8,Paula's Choice Official Store,923925.43,1180891.99,3828,1280,True,4.05,Thailand,,2026-03-01
P-JB-He-7,JBL Headphones,B-JBL,JBL,S-24,JBL Official Store,1778579.4,2082918.87,4023,2269,True,4.28,Thailand,,2026-03-01
P-Ne-Co-8,Nestle Coffee,B-Nestle,Nestle,S-9,Nestle Official Store,162673.72,166639.41,2057,1500,True,4.01,Vietnam,,2026-03-01
P-An-Po-9,Anker Power Bank,B-Anker,Anker,S-5,Anker Official Store,658181.87,816967.68,3591,2283,True,4.65,Malaysia,,2026-03-01
P-Ne-Ch-10,Nestle Chocolate Drink,B-Nestle,Nestle,S-23,Nestle Official Store,108478.94,112579.05,3675,1756,True,4.67,Vietnam,,2026-03-01
P-Ne-Ce-11,Nestle Cereal,B-Nestle,Nestle,S-35,Nestle Official Store,171159.0,201479.5,2720,1033,True,4.56,Malaysia,,2026-03-01
P-An-Po-12,Anker Power Bank,B-Anker,Anker,S-32,Anker Official Store,667302.67,700807.67,2820,568,True,4.56,Malaysia,,2026-03-01
P-Ne-Ce-13,Nestle Cereal,B-Nestle,Nestle,S-45,Nestle Official Store,148908.44,162280.69,1708,545,True,4.23,Vietnam,,2026-03-01
P-An-Ch-14,Anker Charger,B-Anker,Anker,S-6,Anker Official Store,466106.75,514012.01,4921,1056,True,4.22,Thailand,,2026-03-01
P-Ne-Ce-15,Nestle Cereal,B-Nestle,Nestle,S-28,Nestle Official Store,167039.61,195606.02,3332,2242,True,4.11,Thailand,,2026-03-01
P-Lo-We-16,Logitech Webcam,B-Logitech,Logitech,S-37,Logitech Official Store,990915.1,1158919.84,4809,668,True,4.94,Thailand,,2026-03-01
P-Lo-Wi-17,Logitech Wireless Mouse,B-Logitech,Logitech,S-12,Logitech Official Store,470507.04,607941.66,3611,1641,True,4.28,Thailand,,2026-03-01
P-Lo-We-18,Logitech Webcam,B-Logitech,Logitech,S-32,Logitech Official Store,1091534.84,1123466.82,3504,1666,True,4.14,Vietnam,,2026-03-01
P-Ne-Ce-19,Nestle Cereal,B-Nestle,Nestle,S-4,Nestle Official Store,156338.51,170061.19,3540,207,True,4.37,Thailand,,2026-03-01
P-Lo-We-20,Logitech Webcam,B-Logitech,Logitech,S-11,Logitech Official Store,1301666.67,1558600.47,3612,2196,True,4.84,Thailand,,2026-03-01
P-Ne-Ch-21,Nestle Chocolate Drink,B-Nestle,Nestle,S-3,Nestle Official Store,109871.59,133475.04,689,1960,True,4.02,Thailand,,2026-03-01
P-An-Ch-22,Anker Charger,B-Anker,Anker,S-40,Anker Official Store,412737.51,529685.25,2415,645,True,4.68,Malaysia,,2026-03-01
P-Lo-Wi-23,Logitech Wireless Mouse,B-Logitech,Logitech,S-30,Logitech Official Store,484063.48,619075.66,3399,1639,True,4.23,Thailand,,2026-03-01
P-Pa-Cl-24,Paula's Choice Cleanser,B-Paula's Choice,Paula's Choice,S-37,Paula's Choice Official Store,625176.15,794736.68,4120,2061,True,4.28,Vietnam,,2026-03-01
P-An-Ch-25,Anker Charger,B-Anker,Anker,S-24,Anker Official Store,439019.39,543666.31,4753,591,True,4.94,Thailand,,2026-03-01
P-Ne-Ce-26,Nestle Cereal,B-Nestle,Nestle,S-16,Nestle Official Store,153180.24,185919.55,986,1709,True,4.18,Thailand,,2026-03-01
P-Ne-Co-27,Nestle Coffee,B-Nestle,Nestle,S-20,Nestle Official Store,155544.87,172827.76,1557,1924,True,4.74,Thailand,,2026-03-01
P-An-Po-28,Anker Power Bank,B-Anker,Anker,S-22,Anker Official Store,755356.01,905047.27,1723,2090,True,4.98,Vietnam,,2026-03-01
P-An-US-29,Anker USB-C Cable,B-Anker,Anker,S-21,Anker Official Store,360969.09,412093.3,4923,2336,True,4.67,Malaysia,,2026-03-01
P-Lo-Wi-30,Logitech Wireless Mouse,B-Logitech,Logitech,S-17,Logitech Official Store,698322.24,862564.23,1273,2210,True,4.95,Vietnam,,2026-03-01
P-JB-Ea-31,JBL Earbuds,B-JBL,JBL,S-37,JBL Official Store,1394770.41,1714676.7,2357,306,True,4.97,Malaysia,,2026-03-01
P-An-Po-32,Anker Power Bank,B-Anker,Anker,S-3,Anker Official Store,624616.62,684063.23,157,2070,True,4.56,Malaysia,,2026-03-01
P-Pa-Mo-33,Paula's Choice Moisturizer,B-Paula's Choice,Paula's Choice,S-32,Paula's Choice Official Store,726084.38,760362.41,4044,1691,True,4.14,Thailand,,2026-03-01
P-An-US-34,Anker USB-C Cable,B-Anker,Anker,S-48,Anker Official Store,277938.94,294129.98,2836,542,True,4.81,Thailand,,2026-03-01
P-Lo-Wi-35,Logitech Wireless Mouse,B-Logitech,Logitech,S-36,Logitech Official Store,473755.6,483918.49,4810,24,True,4.65,Thailand,,2026-03-01
P-Ne-Ch-36,Nestle Chocolate Drink,B-Nestle,Nestle,S-22,Nestle Official Store,131070.66,149783.98,4176,579,True,4.98,Malaysia,,2026-03-01
P-Pa-Se-37,Paula's Choice Serum,B-Paula's Choice,Paula's Choice,S-42,Paula's Choice Official Store,856852.42,934029.45,4963,1082,True,4.54,Thailand,,2026-03-01
P-JB-He-38,JBL Headphones,B-JBL,JBL,S-30,JBL Official Store,1850121.78,1987819.7,4172,273,True,4.97,Vietnam,,2026-03-01
P-Pa-Se-39,Paula's Choice Serum,B-Paula's Choice,Paula's Choice,S-19,Paula's Choice Official Store,883813.84,1098273.15,3705,1086,True,4.08,Malaysia,,2026-03-01
P-JB-Ea-40,JBL Earbuds,B-JBL,JBL,S-1,JBL Official Store,1377384.14,1670463.9,1111,638,True,4.16,Vietnam,,2026-03-01
P-Pa-Se-41,Paula's Choice Serum,B-Paula's Choice,Paula's Choice,S-40,Paula's Choice Official Store,818255.11,998342.31,3373,1217,True,4.74,Thailand,,2026-03-01
P-JB-Ea-42,JBL Earbuds,B-JBL,JBL,S-37,JBL Official Store,1166663.35,1306280.7,2774,1248,True,4.05,Vietnam,,2026-03-01
P-Lo-Ke-43,Logitech Keyboard,B-Logitech,Logitech,S-5,Logitech Official Store,802015.76,1038019.28,2989,2270,True,4.76,Thailand,,2026-03-01
P-JB-Bl-44,JBL Bluetooth Speaker,B-JBL,JBL,S-5,JBL Official Store,2319519.67,2397122.67,2879,2494,True,4.5,Vietnam,,2026-03-01
P-JB-He-45,JBL Headphones,B-JBL,JBL,S-28,JBL Official Store,1507111.39,1935719.48,925,2212,True,4.94,Malaysia,,2026-03-01
P-Ne-Ce-46,Nestle Cereal,B-Nestle,Nestle,S-37,Nestle Official Store,139326.38,163398.18,3943,1071,True,4.2,Malaysia,,2026-03-01
P-JB-Bl-47,JBL Bluetooth Speaker,B-JBL,JBL,S-35,JBL Official Store,2319020.23,2377232.53,2804,94,True,4.32,Thailand,,2026-03-01
P-Pa-Se-48,Paula's Choice Serum,B-Paula's Choice,Paula's Choice,S-45,Paula's Choice Official Store,775731.97,898988.4,3176,417,True,4.04,Thailand,,2026-03-01
P-Lo-Wi-49,Logitech Wireless Mouse,B-Logitech,Logitech,S-10,Logitech Official Store,452890.3,497712.71,2534,2244,True,4.58,Vietnam,,2026-03-01
P-An-US-50,Anker USB-C Cable,B-Anker,Anker,S-37,Anker Official Store,230708.86,295448.55,3881,1553,True,4.74,Vietnam,,2026-03-01
P-An-Po-51,Anker Power Bank,B-Anker,Anker,S-20,Anker Official Store,804734.82,1024197.93,758,1370,True,4.3,Thailand,,2026-03-01
P-An-Po-52,Anker Power Bank,B-Anker,Anker,S-19,Anker Official Store,727766.53,936031.48,3607,1395,True,4.08,Vietnam,,2026-03-01
P-JB-Bl-53,JBL Bluetooth Speaker,B-JBL,JBL,S-21,JBL Official Store,1772107.47,2082291.59,3666,1172,True,4.79,Vietnam,,2026-03-01
P-JB-He-54,JBL Headphones,B-JBL,JBL,S-9,JBL Official Store,1989023.11,2568271.48,983,1547,True,4.43,Thailand,,2026-03-01
P-Pa-Cl-55,Paula's Choice Cleanser,B-Paula's Choice,Paula's Choice,S-2,Paula's Choice Official Store,682336.07,866383.35,1570,2081,True,4.08,Thailand,,2026-03-01
P-An-Po-56,Anker Power Bank,B-Anker,Anker,S-45,Anker Official Store,673842.28,858579.0,1185,1832,True,4.38,Vietnam,,2026-03-01
P-An-Po-57,Anker Power Bank,B-Anker,Anker,S-10,Anker Official Store,739588.01,900391.92,3632,43,True,4.43,Thailand,,2026-03-01
P-JB-He-58,JBL Headphones,B-JBL,JBL,S-41,JBL Official Store,1474210.39,1552740.13,1988,2439,True,4.58,Thailand,,2026-03-01
P-Lo-We-59,Logitech Webcam,B-Logitech,Logitech,S-33,Logitech Official Store,1093656.56,1140912.99,163,2110,True,4.01,Vietnam,,2026-03-01
P-JB-He-60,JBL Headphones,B-JBL,JBL,S-37,JBL Official Store,1613429.36,2094279.94,1280,1687,True,4.97,Malaysia,,2026-03-01
P-Pa-Mo-61,Paula's Choice Moisturizer,B-Paula's Choice,Paula's Choice,S-15,Paula's Choice Official Store,877708.41,948545.23,3516,1401,True,4.7,Vietnam,,2026-03-01
P-An-Ch-62,Anker Charger,B-Anker,Anker,S-8,Anker Official Store,442328.84,464397.38,1175,1376,True,4.65,Vietnam,,2026-03-01
P-Pa-Se-63,Paula's Choice Serum,B-Paula's Choice,Paula's Choice,S-27,Paula's Choice Official Store,837417.04,1082638.33,2538,929,True,4.13,Vietnam,,2026-03-01
P-An-Po-64,Anker Power Bank,B-Anker,Anker,S-45,Anker Official Store,597439.1,765417.45,1045,1829,True,4.78,Thailand,,2026-03-01
P-Pa-Mo-65,Paula's Choice Moisturizer,B-Paula's Choice,Paula's Choice,S-26,Paula's Choice Official Store,971721.24,1093659.54,4188,1245,True,4.97,Vietnam,,2026-03-01
