product_id,product_name,brand_id,brand_name,seller_id,seller_name,price_current,price_original,sold_count,review_count,in_stock,rating_score,location,product_url,snapshot_date
P-Lo-Ke-0,Logitech Keyboard,B-Logitech,Logitech,S-42,Logitech Official Store,924737.14,1155627.38,2817,118,True,4.51,Vietnam,,2026-03-01
P-Pa-Cl-1,Paula's Choice Cleanser,B-Paula's Choice,Paula's Choice,S-5,Paula's Choice Official Store,775435.06,887520.74,355,1770,True,4.54,Vietnam,,2026-03-01
P-Ne-Co-2,Nestle Coffee,B-Nestle,Nestle,S-37,Nestle Official Store,208146.26,241750.72,125,286,True,4.49,Vietnam,,2026-03-01
P-Lo-We-3,Logitech Webcam,B-Logitech,Logitech,S-37,Logitech Official Store,1097722.29,1202265.2,2371,1636,True,4.71,Malaysia,,2026-03-01
P-Lo-Ke-4,Logitech Keyboard,B-Logitech,Logitech,S-45,Logitech Official Store,1017039.54,1307210.57,568,824,True,4.21,Vietnam,,2026-03-01
P-Pa-Cl-5,Paula's Choice Cleanser,B-Paula's Choice,Paula's Choice,S-17,Paula's Choice Official Store,647156.87,743881.78,1635,119,True,4.21,Thailand,,2026-03-01
P-Lo-We-6,Logitech Webcam,B-Logitech,Logitech,S-32,Logitech Official Store,1001026.68,1080261.56,3218,1098,True,4.31,Malaysia,,2026-03-01
P-An-Po-7,Anker Power Bank,B-Anker,Anker,S-3,Anker Official Store,837898.03,1052533.81,4343,2223,True,4.6,Malaysia,,2026-03-01
P-Lo-Wi-8,Logitech Wireless Mouse,B-Logitech,Logitech,S-40,Logitech Official Store,417077.25,490911.37,3668,1886,True,4.08,Vietnam,,2026-03-01
P-Pa-Cl-9,Paula's Choice Cleanser,B-Paula's Choice,Paula's Choice,S-8,Paula's Choice Official Store,531369.68,566197.04,974,927,True,4.11,Malaysia,,2026-03-01
P-Lo-Ke-10,Logitech Keyboard,B-Logitech,Logitech,S-47,Logitech Official Store,789089.68,916484.99,1119,1956,True,4.62,Vietnam,,2026-03-01
P-Ne-Ch-11,Nestle Chocolate Drink,B-Nestle,Nestle,S-13,Nestle Official Store,116953.53,120932.06,2597,2003,True,4.25,Thailand,,2026-03-01
P-An-Ch-12,Anker Charger,B-Anker,Anker,S-16,Anker Official Store,423555.36,536284.98,96,1521,True,4.46,Thailand,,2026-03-01
P-JB-He-13,JBL Headphones,B-JBL,JBL,S-23,JBL Official Store,1624713.96,2111499.14,726,2300,True,4.38,Thailand,,2026-03-01
P-Lo-Ke-14,Logitech Keyboard,B-Logitech,Logitech,S-19,Logitech Official Store,747023.35,872094.07,3872,775,True,4.56,Malaysia,,2026-03-01
P-Lo-We-15,Logitech Webcam,B-Logitech,Logitech,S-30,Logitech Official Store,1115275.29,1141513.94,1179,1945,True,4.05,Thailand,,2026-03-01
P-Ne-Co-16,Nestle Coffee,B-Nestle,Nestle,S-29,Nestle Official Store,206933.56,217468.63,1530,2321,True,4.6,Thailand,,2026-03-01
P-JB-Bl-17,JBL Bluetooth Speaker,B-JBL,JBL,S-34,JBL Official Store,1977179.62,2134673.96,924,1572,True,4.4,Vietnam,,2026-03-01
P-Lo-Wi-18,Logitech Wireless Mouse,B-Logitech,Logitech,S-5,Logitech Official Store,562163.89,582774.78,2799,448,True,4.19,Malaysia,,2026-03-01
P-Lo-Wi-19,Logitech Wireless Mouse,B-Logitech,Logitech,S-48,Logitech Official Store,639945.01,831838.27,2419,1833,True,4.7,Malaysia,,2026-03-01
P-Ne-Ce-20,Nestle Cereal,B-Nestle,Nestle,S-14,Nestle Official Store,135924.03,142618.98,2356,2434,True,4.48,Thailand,,2026-03-01
