sku_name,brand,category,merchant,price_usd,discount,sold,gmv_usd,rating,reviews,month,country,marketplace,sku_name_clean,brand_clean,competitor_p25,competitor_median,competitor_p75,competitor_count
Baseus Laptop Stand 2026,Baseus,Accessories,baseus-seller-015,31.15,14.55,186,5794.81,4.65,499,2026-03-01,Philippines,Shopee,baseus laptop stand 2026,baseus,19.3525,32.84,56.6075,14
IKEA Kitchen Organizer Plus,IKEA,Home & Living,ikea-seller-003,155.68,16.34,51,7939.93,4.39,84,2026-03-01,Thailand,Shopee,ikea kitchen organizer plus,ikea,53.71,121.445,153.235,22
Oishi Crackers Mini,Oishi,Groceries,oishi-seller-002,17.35,0.0,278,4823.65,4.4,60,2026-03-01,Vietnam,Shopee,oishi crackers mini,oishi,11.4125,13.67,17.03,14
LocknLock Water Bottle Plus,LocknLock,Home & Living,locknlock-seller-038,122.92,0.6,57,7006.16,4.36,169,2026-03-01,Indonesia,Shopee,locknlock water bottle plus,locknlock,42.685,67.92500000000001,124.1525,16
Kikkoman Teriyaki Sauce Pro,Kikkoman,Groceries,kikkoman-seller-018,4.07,19.58,666,2711.19,4.65,69,2026-03-01,Malaysia,Shopee,kikkoman teriyaki sauce pro,kikkoman,11.1625,18.03,24.435,14
L'Oreal Shampoo Plus,L'Oreal,Beauty,l'oreal-seller-007,32.49,2.23,181,5881.33,4.62,14,2026-03-01,Thailand,Shopee,l oreal shampoo plus,l oreal,18.35,24.02,46.9,17
LocknLock Water Bottle Max,LocknLock,Home & Living,locknlock-seller-030,162.86,19.05,41,6677.34,4.2,22,2026-03-01,Malaysia,Lazada,locknlock water bottle max,locknlock,72.85,104.89,151.0625,12
Xiaomi Router Pro,Xiaomi,Electronics,xiaomi-seller-054,174.28,0.0,38,6622.68,4.66,93,2026-03-01,Indonesia,Shopee,xiaomi router pro,xiaomi,136.705,196.675,285.3575,14
IKEA Kitchen Organizer Standard,IKEA,Home & Living,ikea-seller-003,9.35,19.1,185,1730.37,4.86,367,2026-03-01,Philippines,Lazada,ikea kitchen organizer standard,ikea,50.21,106.07,137.275,19
L'Oreal Shampoo,L'Oreal,Beauty,l'oreal-seller-007,10.28,19.8,366,3761.45,4.38,118,2026-03-01,Philippines,Shopee,l oreal shampoo,l oreal,20.5925,29.16,41.37,14
Samsung Monitor 2026,Samsung,Electronics,samsung-seller-024,440.62,14.37,21,9252.95,4.19,135,2026-03-01,Singapore,Lazada,samsung monitor 2026,samsung,305.515,426.94,473.90999999999997,11
Maybelline Lip Tint Max,Maybelline,Beauty,maybelline-seller-005,33.51,24.52,206,6902.59,3.63,397,2026-03-01,Malaysia,Shopee,maybelline lip tint max,maybelline,21.82,37.81,41.54,13
Philips LED Bulb 2026,Philips,Home & Living,philips-seller-030,134.25,0.04,39,5235.68,4.27,362,2026-03-01,Indonesia,Shopee,philips led bulb 2026,philips,42.685,67.92500000000001,124.1525,16
IKEA Kitchen Organizer Pro,IKEA,Home & Living,ikea-seller-054,43.02,14.63,107,4603.12,4.36,274,2026-03-01,Singapore,Lazada,ikea kitchen organizer pro,ikea,42.815,88.67,118.07499999999999,11
Anker Charging Cable Pro,Anker,Accessories,anker-seller-005,64.14,17.39,121,7761.38,4.46,95,2026-03-01,Vietnam,Shopee,anker charging cable pro,anker,50.647499999999994,62.41,67.6175,8
Kikkoman Teriyaki Sauce Plus,Kikkoman,Groceries,kikkoman-seller-057,31.63,10.12,171,5409.28,4.05,89,2026-03-01,Thailand,Lazada,kikkoman teriyaki sauce plus,kikkoman,13.785,25.494999999999997,27.95,14
Nestle Coffee 2026,Nestle,Groceries,nestle-seller-048,34.03,0.0,156,5308.26,4.22,800,2026-03-01,Philippines,Lazada,nestle coffee 2026,nestle,7.0,7.98,23.59,13
LocknLock Lunch Box Plus,LocknLock,Home & Living,locknlock-seller-024,51.83,31.71,84,4354.0,4.48,213,2026-03-01,Indonesia,Lazada,locknlock lunch box plus,locknlock,89.89,106.76,129.64,17
LocknLock Water Bottle,LocknLock,Home & Living,locknlock-seller-004,174.52,2.8,51,8900.64,4.28,375,2026-03-01,Thailand,Shopee,locknlock water bottle,locknlock,53.71,121.445,153.235,22
Kikkoman Teriyaki Sauce Mini,Kikkoman,Groceries,kikkoman-seller-005,23.97,29.52,322,7716.8,4.2,75,2026-03-01,Vietnam,Shopee,kikkoman teriyaki sauce mini,kikkoman,11.4125,13.67,17.03,14
LocknLock Lunch Box Pro,LocknLock,Home & Living,locknlock-seller-036,111.21,2.22,46,5115.58,4.74,49,2026-03-01,Singapore,Lazada,locknlock lunch box pro,locknlock,42.815,88.67,118.07499999999999,11
LocknLock Lunch Box Pro,LocknLock,Home & Living,locknlock-seller-008,27.15,9.42,149,4045.0,4.83,33,2026-03-01,Vietnam,Shopee,locknlock lunch box pro,locknlock,18.14,54.84,89.36,13
Nestle Coffee Max,Nestle,Groceries,nestle-seller-057,19.55,10.35,237,4633.04,4.05,619,2026-03-01,Malaysia,Lazada,nestle coffee max,nestle,15.995000000000001,21.35,29.77,10
